t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2026,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2020,TN,Nuclear,nuclear_r_fsu,r,fsu,224.4,
2032,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,106.666667,
2035,WY,Nuclear,nuclear_r_fsu,r,fsu,115.0,
2047,AL,Nuclear,nuclear_r_fsu,r,fsu,95.177673,
2041,AZ,Nuclear,nuclear_r_fsu,r,fsu,90.602192,
2044,AZ,Nuclear,nuclear_r_fsu,r,fsu,842.436896,
2047,AZ,Nuclear,nuclear_r_fsu,r,fsu,801.624605,
2050,CO,Nuclear,nuclear_r_fsu,r,fsu,66.116454,
2044,FL,Nuclear,nuclear_r_fsu,r,fsu,3989.617485,
2047,FL,Nuclear,nuclear_r_fsu,r,fsu,1406.666145,
2050,FL,Nuclear,nuclear_r_fsu,r,fsu,290.930014,
2044,GA,Nuclear,nuclear_r_fsu,r,fsu,624.228121,
2047,GA,Nuclear,nuclear_r_fsu,r,fsu,422.763237,
2050,GA,Nuclear,nuclear_r_fsu,r,fsu,848.491409,
2038,IA,Nuclear,nuclear_r_fsu,r,fsu,8.860194,
2047,IA,Nuclear,nuclear_r_fsu,r,fsu,43.572183,
2050,IA,Nuclear,nuclear_r_fsu,r,fsu,766.872541,
2038,ID,Nuclear,nuclear_r_fsu,r,fsu,256.103672,
2050,IL_MISO,Nuclear,nuclear_r_fsu,r,fsu,36.458984,
2038,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,806.063356,
2047,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,338.992957,
2050,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,9.448125,
2050,IN,Nuclear,nuclear_r_fsu,r,fsu,980.918867,
2047,KY,Nuclear,nuclear_r_fsu,r,fsu,320.474617,
2047,LA,Nuclear,nuclear_r_fsu,r,fsu,14.51034,
2050,LA,Nuclear,nuclear_r_fsu,r,fsu,38.617197,
2050,MO,Nuclear,nuclear_r_fsu,r,fsu,73.531353,
2050,NC,Nuclear,nuclear_r_fsu,r,fsu,1323.460664,
2044,ND,Nuclear,nuclear_r_fsu,r,fsu,79.378673,
2047,ND,Nuclear,nuclear_r_fsu,r,fsu,125.835905,
2050,ND,Nuclear,nuclear_r_fsu,r,fsu,578.044433,
2038,NV,Nuclear,nuclear_r_fsu,r,fsu,313.549847,
2041,NV,Nuclear,nuclear_r_fsu,r,fsu,59.44847,
2044,NV,Nuclear,nuclear_r_fsu,r,fsu,356.837178,
2047,NV,Nuclear,nuclear_r_fsu,r,fsu,432.163673,
2050,NV,Nuclear,nuclear_r_fsu,r,fsu,132.376547,
2038,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,459.348863,
2041,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,158.024939,
2044,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,248.322038,
2047,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,526.608266,
2050,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,439.471136,
2050,SC,Nuclear,nuclear_r_fsu,r,fsu,216.892378,
2050,TN,Nuclear,nuclear_r_fsu,r,fsu,1046.475627,
2047,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,2415.943489,
2050,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,3094.133321,
2047,TX_MISO,Nuclear,nuclear_r_fsu,r,fsu,417.353302,
2038,UT,Nuclear,nuclear_r_fsu,r,fsu,152.124948,
2044,UT,Nuclear,nuclear_r_fsu,r,fsu,271.066822,
2047,UT,Nuclear,nuclear_r_fsu,r,fsu,147.429765,
2044,VA,Nuclear,nuclear_r_fsu,r,fsu,35.344751,
2047,VA,Nuclear,nuclear_r_fsu,r,fsu,2116.001469,
2038,WA,Nuclear,nuclear_r_fsu,r,fsu,148.076917,
2035,WI,Nuclear,nuclear_r_fsu,r,fsu,461.430143,
2038,WI,Nuclear,nuclear_r_fsu,r,fsu,485.86939,
2044,WI,Nuclear,nuclear_r_fsu,r,fsu,10.938299,
2047,WI,Nuclear,nuclear_r_fsu,r,fsu,52.435806,
2050,WI,Nuclear,nuclear_r_fsu,r,fsu,855.206582,
