t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2026,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2020,TN,Nuclear,nuclear_r_fsu,r,fsu,224.4,
2032,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,106.666667,
2035,WY,Nuclear,nuclear_r_fsu,r,fsu,115.0,
2038,AZ,Nuclear,nuclear_r_fsu,r,fsu,59.446373,
2041,AZ,Nuclear,nuclear_r_fsu,r,fsu,251.625173,
2044,AZ,Nuclear,nuclear_r_fsu,r,fsu,299.517804,
2047,AZ,Nuclear,nuclear_r_fsu,r,fsu,272.556846,
2050,AZ,Nuclear,nuclear_r_fsu,r,fsu,441.246739,
2035,CO,Nuclear,nuclear_r_fsu,r,fsu,47.300287,
2038,CO,Nuclear,nuclear_r_fsu,r,fsu,194.30782,
2035,FL,Nuclear,nuclear_r_fsu,r,fsu,26.341929,
2038,FL,Nuclear,nuclear_r_fsu,r,fsu,1315.973447,
2044,FL,Nuclear,nuclear_r_fsu,r,fsu,1250.542333,
2047,FL,Nuclear,nuclear_r_fsu,r,fsu,903.179146,
2050,FL,Nuclear,nuclear_r_fsu,r,fsu,228.94191,
2038,GA,Nuclear,nuclear_r_fsu,r,fsu,597.282518,
2044,GA,Nuclear,nuclear_r_fsu,r,fsu,445.588365,
2050,GA,Nuclear,nuclear_r_fsu,r,fsu,523.709092,
2035,IA,Nuclear,nuclear_r_fsu,r,fsu,262.676835,
2038,IA,Nuclear,nuclear_r_fsu,r,fsu,153.208322,
2050,IA,Nuclear,nuclear_r_fsu,r,fsu,283.580245,
2038,ID,Nuclear,nuclear_r_fsu,r,fsu,18.188612,
2038,IL_MISO,Nuclear,nuclear_r_fsu,r,fsu,82.26527,
2035,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,398.428269,
2038,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,208.628719,
2047,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,359.28009,
2050,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,256.342262,
2035,IN,Nuclear,nuclear_r_fsu,r,fsu,482.64672,
2038,IN,Nuclear,nuclear_r_fsu,r,fsu,398.473266,
2038,KY,Nuclear,nuclear_r_fsu,r,fsu,191.944192,
2044,MD,Nuclear,nuclear_r_fsu,r,fsu,130.653887,
2047,NC,Nuclear,nuclear_r_fsu,r,fsu,7.544893,
2050,NC,Nuclear,nuclear_r_fsu,r,fsu,656.457898,
2038,ND,Nuclear,nuclear_r_fsu,r,fsu,70.982978,
2044,ND,Nuclear,nuclear_r_fsu,r,fsu,144.649347,
2047,ND,Nuclear,nuclear_r_fsu,r,fsu,156.125317,
2050,ND,Nuclear,nuclear_r_fsu,r,fsu,241.6529,
2035,NH,Nuclear,nuclear_r_fsu,r,fsu,16.423794,
2035,NV,Nuclear,nuclear_r_fsu,r,fsu,401.146279,
2038,NV,Nuclear,nuclear_r_fsu,r,fsu,548.980283,
2041,NV,Nuclear,nuclear_r_fsu,r,fsu,96.641718,
2044,NV,Nuclear,nuclear_r_fsu,r,fsu,212.524262,
2047,NV,Nuclear,nuclear_r_fsu,r,fsu,266.094774,
2050,NV,Nuclear,nuclear_r_fsu,r,fsu,219.598971,
2038,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,599.500847,
2044,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,762.729053,
2047,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,427.925064,
2050,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,752.89757,
2038,TN,Nuclear,nuclear_r_fsu,r,fsu,166.014846,
2044,TN,Nuclear,nuclear_r_fsu,r,fsu,354.61266,
2050,TN,Nuclear,nuclear_r_fsu,r,fsu,771.134174,
2038,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,324.887521,
2047,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,2208.666454,
2050,TX_MISO,Nuclear,nuclear_r_fsu,r,fsu,30.171875,
2038,UT,Nuclear,nuclear_r_fsu,r,fsu,393.874203,
2044,UT,Nuclear,nuclear_r_fsu,r,fsu,227.455078,
2047,UT,Nuclear,nuclear_r_fsu,r,fsu,86.204248,
2050,UT,Nuclear,nuclear_r_fsu,r,fsu,80.764497,
2038,VA,Nuclear,nuclear_r_fsu,r,fsu,129.162477,
2044,VA,Nuclear,nuclear_r_fsu,r,fsu,171.800995,
2047,VA,Nuclear,nuclear_r_fsu,r,fsu,1821.106039,
2050,VA,Nuclear,nuclear_r_fsu,r,fsu,563.470098,
2038,WA,Nuclear,nuclear_r_fsu,r,fsu,142.982456,
2032,WI,Nuclear,nuclear_r_fsu,r,fsu,230.609131,
2035,WI,Nuclear,nuclear_r_fsu,r,fsu,446.877616,
2038,WI,Nuclear,nuclear_r_fsu,r,fsu,337.020508,
2044,WI,Nuclear,nuclear_r_fsu,r,fsu,326.314664,
2047,WI,Nuclear,nuclear_r_fsu,r,fsu,64.569377,
2050,WI,Nuclear,nuclear_r_fsu,r,fsu,163.78262,
