t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,
2032,p48001,Nuclear,nuclear_r_fsu,r,fsu,320.0,
2035,p56003,Nuclear,nuclear_r_fsu,r,fsu,345.0,
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.952478,
2038,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.661161,
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.739688,
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061355,
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517256,
2038,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.439749,
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.488536,
2050,p4015,Nuclear,nuclear_r_fsu,r,fsu,2656.888355,
2050,p8001,Nuclear,nuclear_r_fsu,r,fsu,216.632437,
2047,p10001,Nuclear,nuclear_r_fsu,r,fsu,615.450844,
2050,p10001,Nuclear,nuclear_r_fsu,r,fsu,539.090033,
2050,p12005,Nuclear,nuclear_r_fsu,r,fsu,9183.506547,
2050,p13001,Nuclear,nuclear_r_fsu,r,fsu,2351.185709,
2047,p19009,Nuclear,nuclear_r_fsu,r,fsu,262.137858,
2050,p19009,Nuclear,nuclear_r_fsu,r,fsu,1097.922019,
2047,p17001,Nuclear,nuclear_r_fsu,r,fsu,159.372525,
2050,p17001,Nuclear,nuclear_r_fsu,r,fsu,1191.366331,
2047,p17007,Nuclear,nuclear_r_fsu,r,fsu,3121.821524,
2050,p17007,Nuclear,nuclear_r_fsu,r,fsu,711.038427,
2050,p21003,Nuclear,nuclear_r_fsu,r,fsu,676.559108,
2050,p24001,Nuclear,nuclear_r_fsu,r,fsu,362.292978,
2050,p37003,Nuclear,nuclear_r_fsu,r,fsu,2943.684328,
2050,p38001,Nuclear,nuclear_r_fsu,r,fsu,883.441046,
2050,p33001,Nuclear,nuclear_r_fsu,r,fsu,530.274532,
2047,p32001,Nuclear,nuclear_r_fsu,r,fsu,795.526065,
2050,p32001,Nuclear,nuclear_r_fsu,r,fsu,903.25552,
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,1978.645587,
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,3130.23891,
2050,p45001,Nuclear,nuclear_r_fsu,r,fsu,45.53486,
2050,p47001,Nuclear,nuclear_r_fsu,r,fsu,1049.841491,
2050,p48037,Nuclear,nuclear_r_fsu,r,fsu,1236.822132,
2050,p49001,Nuclear,nuclear_r_fsu,r,fsu,1604.634117,
2047,p51003,Nuclear,nuclear_r_fsu,r,fsu,6017.327119,
2050,p51003,Nuclear,nuclear_r_fsu,r,fsu,2614.803278,
2047,p53007,Nuclear,nuclear_r_fsu,r,fsu,2.472358,
2050,p53007,Nuclear,nuclear_r_fsu,r,fsu,1232.056779,
2047,p55003,Nuclear,nuclear_r_fsu,r,fsu,144.83776,
2050,p55003,Nuclear,nuclear_r_fsu,r,fsu,1021.650892,
